X,Y,area,room,bath,parking,price
31.876131,54.309136,100,4,1,1,3000000
31.851603,54.330118,200,5,1,1,7500000
31.837855,54.373444,140,3,2,2,20000000
31.873321,54.345942,130,1,1,2,18000000
31.859499,54.401721,300,4,2,2,5000000
31.922585,54.321813,250,4,1,1,30000000
31.867213,54.363161,100,2,1,1,12000000
31919735,54.349501,60,1,1,0,3000000
31.90127,54.383401,120,2,1,1,5000000
